method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_f1
lora,bert-base-uncased,rte,789,500,accuracy,0.555956678700361,296450,0.2700395193203643,10.0,0.555956678700361,1.0517559051513672,,0.555956678700361,0.2529,1095.366,71.179,
topheavy_lora,bert-base-uncased,rte,1024,500,accuracy,0.6028880866425993,296450,0.2700395193203643,10.0,0.6028880866425993,1.009398341178894,,0.6028880866425993,0.3153,878.465,57.084,
topheavy_lora,bert-base-uncased,rte,123,500,accuracy,0.5667870036101083,296450,0.2700395193203643,10.0,0.5667870036101083,1.0938917398452759,,0.5667870036101083,0.2977,930.384,60.458,
topheavy_lora,bert-base-uncased,rte,42,500,accuracy,0.5703971119133574,296450,0.2700395193203643,10.0,0.5703971119133574,0.8319430947303772,,0.5703971119133574,0.292,948.47,61.633,
topheavy_lora,bert-base-uncased,rte,456,500,accuracy,0.628158844765343,296450,0.2700395193203643,10.0,0.628158844765343,0.9154135584831238,,0.628158844765343,0.3087,897.235,58.304,
topheavy_lora,bert-base-uncased,rte,789,500,accuracy,0.555956678700361,296450,0.2700395193203643,10.0,0.555956678700361,1.028114914894104,,0.555956678700361,0.3098,894.227,58.109,
bitfit,distilbert-base-uncased,rte,1024,500,accuracy,0.5667870036101083,643586,0.961221572515634,10.0,0.5667870036101083,0.7415670156478882,,0.5667870036101083,0.2002,1383.58,89.908,
bitfit,distilbert-base-uncased,rte,123,500,accuracy,0.5487364620938628,643586,0.961221572515634,10.0,0.5487364620938628,0.7614487409591675,,0.5487364620938628,0.2534,1093.002,71.025,
bitfit,distilbert-base-uncased,rte,42,500,accuracy,0.5379061371841155,643586,0.961221572515634,10.0,0.5379061371841155,0.7942089438438416,,0.5379061371841155,0.2025,1367.844,88.885,
bitfit,distilbert-base-uncased,rte,456,500,accuracy,0.5740072202166066,643586,0.961221572515634,10.0,0.5740072202166066,0.7208850383758545,,0.5740072202166066,0.1889,1466.375,95.288,
